key,Object,Date,Name,Type,start time,End Time,Location,Feature
e0001,event,2/20/2026,Justin Terry,Dance,7pm,10PM,Hall A,Yes
e0002,event,2/13/2026,Dinner,Community Dinner,7pm,10PM,Hall A,Yes
e0003,event,11/28/2026,DJ dance,Dance/Karaoke,7pm,10PM,Hall A,No
e0004,event,12/12/2026,DJ dance,Dance/Karaoke,7pm,10PM,Hall A,No
e0005,event,12/26/2026,DJ dance,Dance/Karaoke,7pm ,10PM,Hall A,No
e0006,event,1/16/2026,DJ dance,Dance/Karaoke,7pm,10PM,Hall A,No
e0007,event,2/27/2026,DJ dance,Dance/Karaoke,7pm,10PM,Hall A,No
e0008,event,3/20/2026,DJ dance,Dance/Karaoke,7pm,10PM,Hall A,No
e0009,event,3/6/2026,High Carbon Steel Band dance,Live Band,7pm,10PM,Hall A,Yes
e0010,event,12/19/2026,Karaoke,Karaoke,7pm,10PM,Hall A,No
e0011,event,11/7/2026,Karaoke,Karaoke,7pm,10PM,Hall B,No
e0012,event,11/14/2026,Karaoke,Karaoke,7pm,10PM,Hall A,No
e0013,event,12/5/2026,Karaoke,Karaoke,7pm,10PM,Hall A,No
e0014,event,1/9/2026,Karaoke,Karaoke,7pm,10PM,Hall A,No
e0015,event,1/23/2026,Karaoke,Karaoke,7pm,10PM,Hall A,No
e0016,event,2/6/2026,Karaoke,Karaoke,7pm,10PM,Hall A,No
e0017,event,3/13/2026,Karaoke,Karaoke,7pm,10PM,Hall A,No
e0018,event,1/30/2026,Warman Trio sock hop,Live Band,7pm,10PM,Hall A,Yes
