Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Warman Trio Sock Hop,01/06/2027,7:00 PM,01/06/2027,8:00 PM,False,mmhp event id: ev0001; activityId: ac0017,Hall A,False
Justin Terry Valentines Dance,02/10/2027,7:00 PM,02/10/2027,8:00 PM,False,mmhp event id: ev0002; activityId: ac0017,Hall A,False
High Carbon Steel Band,03/15/2027,7:00 PM,03/15/2027,8:00 PM,False,mmhp event id: ev0003; activityId: ac0017,Hall A,False
Mayham Comedy Show,01/20/2027,7:00 PM,01/20/2027,8:00 PM,False,mmhp event id: ev0004; activityId: ac0019,Hall A,False
Players Studio Theater Performance,03/10/2027,7:00 PM,03/10/2027,8:00 PM,False,mmhp event id: ev0005; activityId: ac0018,Hall A,False
Julia Lane Cooper Mardi Gras Murder Mystery Party,02/17/2027,7:00 PM,02/17/2027,8:00 PM,False,mmhp event id: ev0006; activityId: ac0021,Hall A,False
Singing Ambassadors Performance,01/27/2027,7:00 PM,01/27/2027,8:00 PM,False,mmhp event id: ev0007; activityId: ac0020,Hall A,False
St. Patricks Day Talent Show,03/17/2027,7:00 PM,03/17/2027,8:00 PM,False,mmhp event id: ev0008; activityId: ac0022,Hall A,False
Karaoke,11/07/2026,7:00 PM,11/07/2026,8:00 PM,False,mmhp event id: ev0009; activityId: ac0001,Hall A,False
Karaoke,11/14/2026,7:00 PM,11/14/2026,8:00 PM,False,mmhp event id: ev0010; activityId: ac0001,Hall A,False
DJ Dance,11/21/2026,7:00 PM,11/21/2026,8:00 PM,False,mmhp event id: ev0011; activityId: ac0002,Hall A,False
DJ Dance,11/28/2026,7:00 PM,11/28/2026,8:00 PM,False,mmhp event id: ev0012; activityId: ac0002,Hall A,False
Karaoke,12/05/2026,7:00 PM,12/05/2026,8:00 PM,False,mmhp event id: ev0013; activityId: ac0001,Hall A,False
DJ Dance,12/12/2026,7:00 PM,12/12/2026,8:00 PM,False,mmhp event id: ev0014; activityId: ac0002,Hall A,False
Karaoke,12/19/2026,7:00 PM,12/19/2026,8:00 PM,False,mmhp event id: ev0015; activityId: ac0001,Hall A,False
DJ Dance,12/26/2026,7:00 PM,12/26/2026,8:00 PM,False,mmhp event id: ev0016; activityId: ac0002,Hall A,False
Karaoke,01/09/2027,7:00 PM,01/09/2027,8:00 PM,False,mmhp event id: ev0017; activityId: ac0001,Hall A,False
DJ Dance,01/16/2027,7:00 PM,01/16/2027,8:00 PM,False,mmhp event id: ev0018; activityId: ac0002,Hall A,False
Karaoke,01/23/2027,7:00 PM,01/23/2027,8:00 PM,False,mmhp event id: ev0019; activityId: ac0001,Hall A,False
Warman Trio Sock Hop,01/30/2027,7:00 PM,01/30/2027,8:00 PM,False,mmhp event id: ev0020; activityId: ac0017,Hall A,False
Karaoke,02/06/2027,7:00 PM,02/06/2027,8:00 PM,False,mmhp event id: ev0021; activityId: ac0001,Hall A,False
Justin Terry Valentines Dance,02/13/2027,7:00 PM,02/13/2027,8:00 PM,False,mmhp event id: ev0022; activityId: ac0017,Hall A,False
Karaoke,02/20/2027,7:00 PM,02/20/2027,8:00 PM,False,mmhp event id: ev0023; activityId: ac0001,Hall A,False
DJ Dance,02/27/2027,7:00 PM,02/27/2027,8:00 PM,False,mmhp event id: ev0024; activityId: ac0002,Hall A,False
High Carbon Steel Band,03/06/2027,7:00 PM,03/06/2027,8:00 PM,False,mmhp event id: ev0025; activityId: ac0017,Hall A,False
Karaoke,03/13/2027,7:00 PM,03/13/2027,8:00 PM,False,mmhp event id: ev0026; activityId: ac0001,Hall A,False
